max_power,burst_width,max_Tf,avg_Tcool
554.76,0.23,970.8,562.3250883392226
10.28,2.17,764.4,559.4939929328622
67.581,0.40499999999999997,890.2,560.3328621908126
397.52,0.25,954.6,561.751590106007
197.72,0.30999999999999994,927.1,561.0533568904593
303.78,0.28,935.4,561.5159010600706
76.445,0.39999999999999997,887.5,560.4356890459363
536.43,0.24500000000000002,961.8,561.9922261484098
383.03,0.25999999999999995,951.9,561.6561837455831
29.926,0.44000000000000006,866.7,560.0618374558303
166.53,0.325,923.9,561.0240282685513
452.8,0.25,961.5,561.955477031802
119.97,0.35000000000000003,924.4,560.4982332155477
764.82,0.21999999999999997,989.3,562.6600706713781
225.92,0.30000000000000004,925.1,561.2462897526502
568.42,0.23500000000000001,983.1,561.9844522968197
116.02,0.355,905.9,560.690812720848
213.75,0.30000000000000004,938.5,561.0484098939929
213.28,0.30000000000000004,930.5,561.1936395759718
259.22,0.28500000000000003,941.8,561.2890459363957
330.62,0.26499999999999996,958.6,561.5844522968198
150.55,0.33,912.3,560.7763250883393
274.33,0.28500000000000003,936.2,561.2830388692579
123.95,0.35000000000000003,920.1,560.5939929328621
106.62,0.36,904.3,560.565371024735
50.208,0.42000000000000004,880.6,560.2441696113074
50.367,0.41000000000000003,889.6,560.203886925795
105.87,0.375,901.8,560.6583038869258
291.42,0.28500000000000003,932.9,561.3674911660777
160.13,0.325,917.0,560.9812720848057
20.172,0.8049999999999999,841.8,559.9360424028267
316.94,0.275,954.4,561.3964664310954
423.86,0.25,957.7,561.8904593639576
152.85,0.33,915.6,560.8749116607775
551.0,0.24000000000000002,963.3,562.4484098939929
122.85,0.34500000000000003,918.1,560.7837455830388
191.45,0.31,929.9,561.0243816254417
27.473,0.485,874.3,559.9929328621907
99.08,0.37,907.1,560.6201413427561
70.779,0.4,896.0,560.4561837455831
169.38,0.32,926.0,560.9805653710247
47.372,0.42500000000000004,877.7,560.239222614841
41.0,0.41,879.3,560.1745583038868
150.07,0.335,915.3,560.9120141342756
355.6,0.265,953.4,561.5484098939929
253.98,0.29000000000000004,935.9,561.3593639575972
342.98,0.26,952.7,561.7526501766785
60.113,0.41000000000000003,899.2,560.2106007067136
764.3,0.215,985.3,562.6717314487632
38.282,0.39,880.6,560.1643109540636
178.09,0.315,925.2,560.9353356890459
159.71,0.33,927.0,560.8190812720848
327.97,0.27,946.6,561.6466431095406
27.88,0.44999999999999996,876.6,560.0028268551237
401.17,0.25999999999999995,952.8,561.8893992932863
614.46,0.23,977.9,562.2590106007068
113.33,0.35,914.6,560.7017667844523
676.06,0.23,968.6,562.6201413427561
214.89,0.30000000000000004,941.3,561.0699646643109
271.21,0.28500000000000003,936.8,561.4992932862191
943.45,0.21000000000000002,1000.5,563.0494699646644
467.84,0.25,960.4,561.9597173144875
554.02,0.24000000000000002,969.7,562.3010600706714
121.53,0.36,907.1,560.6848056537102
45.697,0.41999999999999993,880.8,560.2480565371025
103.69,0.365,904.0,560.5759717314488
106.95,0.35,911.9,560.6176678445229
663.62,0.23,975.0,562.5809187279153
56.942,0.41500000000000004,884.8,560.3169611307421
14.827,0.97,827.5,559.8021201413427
150.73,0.33,912.0,560.7745583038869
40.738,0.42999999999999994,869.9,560.2045936395758
463.87,0.24500000000000002,959.8,562.1212014134276
330.19,0.27,957.2,561.3590106007066
114.92,0.36,906.3,560.6844522968197
119.69,0.35000000000000003,908.4,560.6286219081272
307.73,0.27,945.0,561.5597173144876
81.794,0.39,891.5,560.4826855123674
37.09,0.41500000000000004,871.1,560.1335689045936
567.41,0.23500000000000001,970.1,562.3070671378091
20.945,0.585,860.1,559.9512367491164
131.98,0.34,921.1,560.8275618374557
300.6,0.28,940.6,561.5116607773851
38.012,0.41500000000000004,873.1,560.1710247349822
110.36,0.36,906.0,560.6106007067137
220.91,0.29500000000000004,927.5,561.2936395759717
183.71,0.32,916.6,560.9604240282686
177.49,0.325,924.0,560.9501766784452
46.008,0.42999999999999994,874.5,560.2282685512366
157.74,0.32,922.2,561.0279151943464
220.68,0.30999999999999994,921.8,561.1137809187278
50.826,0.42000000000000004,883.0,560.3028268551236
535.21,0.24000000000000002,968.4,562.1222614840989
173.28,0.315,919.4,561.0455830388692
179.24,0.32,920.3,560.956183745583
184.5,0.315,926.1,560.9597173144876
217.39,0.30000000000000004,935.1,561.1328621908126
72.988,0.38999999999999996,891.8,560.4766784452297
160.82,0.32,930.4,560.8409893992933
230.38,0.29500000000000004,942.3,561.1424028268551
87.736,0.375,905.4,560.5190812720848
119.36,0.35000000000000003,899.1,560.7247349823322
85.142,0.38,898.3,560.4265017667844
456.09,0.24500000000000002,965.8,561.9893992932862
453.31,0.25,961.2,562.086219081272
458.62,0.25,963.1,561.9212014134275
49.113,0.41500000000000004,879.4,560.2989399293285
93.669,0.38,903.4,560.4855123674912
195.01,0.315,919.5,560.9752650176679
208.14,0.305,923.9,561.1809187279152
709.81,0.22,995.7,562.164664310954
191.69,0.315,928.9,560.9109540636042
172.3,0.32,923.1,561.0441696113074
210.69,0.29500000000000004,931.1,561.1551236749117
174.6,0.315,928.6,561.0749116607774
279.53,0.28,943.5,561.3865724381626
290.03,0.28,944.5,561.4674911660777
886.08,0.215,1012.5,562.7911660777385
36.448,0.395,871.8,560.1565371024734
61.253,0.4,893.2,560.3526501766784
120.32,0.34500000000000003,912.5,560.6724381625443
347.53,0.26,957.3,561.6565371024734
180.8,0.315,924.2,561.0197879858656
54.702,0.42000000000000004,885.4,560.2911660777384
77.471,0.39499999999999996,893.1,560.4844522968198
475.1,0.25,958.6,562.0558303886927
118.66,0.35000000000000003,908.3,560.6208480565372
21.062,0.55,862.6,560.033922261484
149.91,0.335,913.4,560.8434628975265
325.32,0.27,953.9,561.5381625441696
311.91,0.275,950.8,561.565371024735
579.64,0.24000000000000002,969.1,562.4296819787986
196.37,0.305,929.7,560.9226148409895
77.441,0.38999999999999996,900.8,560.5067137809187
202.09,0.305,929.3,561.1512367491166
172.77,0.315,924.2,561.0219081272085
233.7,0.29500000000000004,926.1,561.1985865724382
306.08,0.265,942.1,561.76148409894
391.8,0.25999999999999995,951.8,561.8250883392225
590.65,0.23500000000000001,970.6,562.3855123674912
67.963,0.39999999999999997,898.4,560.3332155477032
92.318,0.375,897.4,560.5696113074205
53.803,0.41000000000000003,883.5,560.2494699646643
87.717,0.37,896.2,560.5349823321554
622.85,0.225,972.7,562.565371024735
697.55,0.225,977.8,562.656183745583
439.6,0.25,962.2,561.9409893992934
180.18,0.315,922.1,561.0289752650177
989.64,0.20500000000000002,1016.2,563.1088339222614
352.07,0.27499999999999997,946.0,561.7681978798587
188.59,0.305,928.8,561.0678445229682
153.17,0.33,912.4,560.8427561837456
123.08,0.35000000000000003,906.2,560.7491166077739
372.96,0.26499999999999996,947.0,561.8257950530035
191.42,0.315,926.1,560.9583038869258
56.566,0.41000000000000003,886.9,560.3028268551236
171.94,0.315,926.3,561.0240282685512
44.75,0.41999999999999993,876.2,560.2413427561837
190.31,0.305,924.1,560.9434628975265
133.5,0.34,909.9,560.6763250883392
