rod_worth,beta,h_gap,gamma_frac
0.008637810143587957,0.0075755892693634645,13727.981901855645,0.023956604153831794
0.009254959215051668,0.007529151445309593,9370.218080123748,0.01970723564654485
0.008046313207038741,0.007647376060313544,9962.543845014188,0.020044644022879456
0.008462737361219115,0.0071389988061749555,8569.910205711847,0.02007184234695361
0.008641017434656959,0.00757478427945016,12813.925869458177,0.011449344346426964
0.008684198600642226,0.00786329248981142,11696.684081364747,0.011122298074685535
0.008823770820929805,0.007654065186456969,11323.783690023967,0.018961994160231987
0.009003627963678873,0.007577307020878426,9473.004712332402,0.0247602767865258
0.008991179088872217,0.007581138229157272,12930.44290518452,0.01607815747113653
0.008420467562071127,0.007660756381745907,8600.419352593912,0.010579747759844892
0.00839912582993392,0.008107480059041008,12600.164675846647,0.024021465284982044
0.008913554210961133,0.0077308894855069,9103.936616451485,0.014415783480271206
0.008201242046076269,0.0075734488568729086,12168.434859399666,0.021063295036864268
0.00917897836389155,0.007216415315608133,13151.721090177447,0.016943463770090695
0.008207271611121265,0.008050013124873323,6145.85611664417,0.01584223465900457
0.008250282252548735,0.007256441593006011,10781.065537708962,0.014974398249366454
0.008918026975864085,0.007475662493763356,12403.729402207937,0.027319515715736785
0.008708182984459828,0.008160540092004754,8390.901764654905,0.02004887766968193
0.0080337434407249,0.008454044036005262,10434.917316187784,0.019498942683320954
0.008901196476127471,0.007334272987727525,7305.727222333436,0.014875494633102612
0.008518075479970326,0.007003117122652518,7885.275715188046,0.016748566682078865
0.008080793148550557,0.007839873341788393,9801.389162423244,0.0215097091588881
0.009055780016447482,0.00776183236997914,7547.1229342091065,0.024769100696736823
0.008423018028320888,0.008058670732633635,7797.070647055836,0.01700032692836941
0.008767950380091979,0.007305571591469742,8262.715722044119,0.023550978720621903
0.008227799040368806,0.007747904973379592,10295.652377191285,0.023507574156122243
0.009165478060533219,0.0071138323356960955,9879.167281103953,0.01411455913986882
0.009292889040275587,0.007588001043199602,8336.84280568036,0.02015512810197882
0.008598658603236995,0.007757116711293576,9998.953679411245,0.013309121342073349
0.00806531207268904,0.007095306488607899,6677.82105761996,0.0202290684621986
0.009119776227505205,0.007632552429985956,12207.563565849727,0.017792321500385472
0.00899307418672747,0.007565206078863062,7603.488880541621,0.011549424416806049
0.008995595183581442,0.007383410939633817,10136.30570694939,0.018096981858663447
0.008632457954024153,0.007212790307113644,7215.885766181222,0.02465505542372839
0.00871840499281018,0.0074421868475909505,6630.081657749665,0.01940811488936057
0.008992754039479989,0.008037624111726843,8205.92543952269,0.02441817559488175
0.008706117539993433,0.007099151223755403,10279.038297621593,0.014571463748665964
0.008087682169341673,0.007254320912019524,10130.44745751335,0.022771990883814642
0.008069853008466564,0.008241720325026214,6624.704574092179,0.016254027678070968
