qprime,mdot,Tin,R,L,Cp,k,T
35987.99275871854,206.18581618393776,573.1518687215995,0.004900652740783017,3.4481549617390876,4.096140341042584,0.9609454790509928,1034.1337838460006
38481.055797852234,192.37897389812804,573.1509603927224,0.004966121269140496,3.4368327540208172,4.249181806751067,1.0112721682595298,1170.3160422854821
39143.29210828257,205.0769278638504,573.1539750411551,0.005209915608153275,3.6814572162308785,4.237540437039932,0.9946461306859179,1164.8935652848265
38687.57964365037,199.59492415186713,573.1507765776721,0.0048635738652080115,3.6245944462643545,4.158921039842403,1.0281582343352837,1205.2500397621839
40469.56118060094,194.14208420094764,573.150976842175,0.004914187292289625,3.731221844160111,4.2442779932081125,1.0187378655687445,1444.7186660704767
41663.29976293495,188.79606549697053,573.1510881993959,0.004772520019450093,3.4745037581283,4.196620915013789,0.9801830543873952,1415.1608721754253
39109.15513073394,191.6772746460728,573.1504486561066,0.005435817269407134,3.4884448482058508,4.136121141682735,0.9749768202537474,1141.0259629780035
37607.48226617997,196.75882634558684,573.1509672025846,0.004680689099000332,3.7105536715233858,4.251689695321429,0.9977691853384643,1135.4190291734624
38498.42107966326,200.75938798550447,573.1545822922134,0.004657668457506348,3.986643288433458,4.220810142381615,0.9416963298042229,1087.3789384804504
41046.474559536444,185.1456304602374,573.1545025289417,0.004838821903928491,3.2448174965578387,4.183726913492157,1.0429781621837775,1484.6210489428975
36127.25886958891,227.95195765150612,573.1514237317949,0.004952956658973374,3.5226901400953707,4.22183274821807,1.012627845406248,1095.5398690689872
37214.401264169246,200.69779451686995,573.1525636141348,0.0051467793635277224,3.75677532060524,4.246666501193387,1.0322368344998198,1173.2911465200496
39219.17127539783,209.46936571739286,573.1541152451613,0.004796169456994755,3.7029738519130975,4.245306358148117,0.9894050389162359,1157.1484805276082
39839.50350906614,202.03410888618606,573.1515198938768,0.005022825527067122,3.3186105475419194,4.2369323819633555,1.0536878704937869,1256.817541618566
36594.126615136636,213.8612053829874,573.1548355516873,0.004664024495651255,3.6044179012460797,4.112119967896997,1.0111844560907932,1118.1423752071905
35377.61604490041,195.06163349853637,573.1512669627252,0.00469103747771625,3.517572501769846,4.125709471507957,0.9726239860247571,1042.3470661221982
36315.316131802414,193.29225678730967,573.1512150120733,0.00482074738420938,3.7865446334028614,4.174450719970012,0.9544235730865798,1049.5434325969857
38951.76611052482,183.5031358043711,573.1511112547298,0.005006486341901803,3.63522473166565,4.199075983053613,0.999487658159565,1181.8431715186657
41291.12386015068,173.98761545537192,573.1549283346175,0.004731446373833739,3.6177732640946436,4.2433521044511995,0.9822430768113942,1425.1711915407186
39768.98859986709,194.9789093936862,573.152316882245,0.005049255519273244,3.587729932561107,4.067980775090212,1.0019963184808316,1201.1139932947194
38276.731649445865,178.65980246337995,573.1515034668013,0.005054527379510342,4.264208374244533,4.015058645365393,0.9641812387493085,1148.8818577700724
37837.600092582135,195.4975499984555,573.1515471335783,0.0050540756550769995,3.6320706828436697,4.240503252520335,0.9692961344405177,1099.8412829946512
40945.684156804404,199.03609040935814,573.1519832716912,0.004904833320561774,3.7520742730568193,4.192615424832704,1.015002373950247,1451.0050000893202
34466.780934273505,192.16374802869979,573.1547333205916,0.005050947539344098,4.006034190837161,4.1850234731046365,1.0477327741053393,1139.5329286018814
40309.602873645046,187.4355696428976,573.1531425588632,0.005279927243440542,3.60364819059121,4.163313223193513,0.9914821382691154,1403.2365638706842
40107.16904707797,206.4057785831921,573.154660578042,0.004773459992278386,3.674280272998703,4.290868290527825,0.9401269324220741,1309.9567313006498
40796.51876005915,196.09769306690757,573.1503467952823,0.0052456632822777535,3.675366442717308,4.236725400618735,0.9626799959181769,1368.077821683699
42922.25287241196,205.04535323426657,573.152644047504,0.004574120892089077,3.7937734320768635,4.134473836254692,1.0197956545656774,1511.4299633922283
38443.1671405355,199.1053212225394,573.1532278903527,0.005180711716146122,3.7746699924645224,4.011619864367397,0.9874858296466515,1151.3189158566845
41965.48831685825,195.88528185405505,573.154269186251,0.005168849547261822,3.58466196590523,4.204698716642967,0.9955942372050216,1444.8476089018636
39224.1874685147,199.15315013540254,573.1527514020195,0.0051363480453276555,3.7242890032041718,4.168098486737446,1.01018279219948,1197.3288462038681
42184.17405827827,199.4698437822806,573.1535072552723,0.005465910421670763,3.5365898029689142,4.119031433356144,0.987367326364897,1436.9161157011383
36972.54969903852,186.9922961383121,573.15170797542,0.004834374560856546,3.7304587486617784,4.181256139298938,1.0092134437631832,1145.0124431175093
33842.44652555909,207.83313289344312,573.1530857033198,0.005131234044870122,3.765274832205293,4.1798395626635685,1.0684405681729732,1133.58038839311
42680.98978172173,187.94280565458365,573.15384708715,0.005149632600704631,3.7476730879308846,4.054894268421556,1.0250268336898587,1528.725755868301
41158.2314156561,217.9342468329895,573.1518241604962,0.00498271257599036,3.5521868956567615,4.0815269703106285,1.0078825199792913,1429.1045497215898
39865.34926000694,202.14373623098066,573.1516431185715,0.005459791327497649,3.615885038309435,4.07397641896007,0.9960117674678814,1190.7155411277577
41332.71246065514,200.49684907684068,573.1521878508171,0.005117296176049344,3.989608389504417,4.0836449666543935,1.0333322452127987,1502.1873613711084
39520.576160468016,188.65337905024796,573.1515516971241,0.005007384535548328,3.689090685380326,4.274656142442722,0.9744428249843495,1156.2893929977743
38868.140475014545,206.24709313487608,573.1504735314302,0.004975526088658143,3.7100788362333157,4.18322059759407,1.0330744870539048,1215.0576865664611
